List of all schools sorted by school number (Includes closed schools),,,
The information in this document is up to date as at 31 August 2022,,,
,,,
Number,Closed,Name of School,Notes Or Old Name
212,,Tolaga Bay Area School,
213,*,Te Waha-O-Rerekohu Area School,
214,,Wairoa College,
215,,Taradale High School,
216,,Napier Boys' High School,
217,,Napier Girls' High School,
218,,Tamatea High School,
219,,Sacred Heart College (Napier),
220,,William Colenso College,Colenso High School
221,,Te Wharekura o Ruatoki,Te Kura Kaupapa Maori a Rohe o Ruatoki
222,,St Joseph's Maori Girls' College,
223,,Havelock North High School,
224,,Iona College,
225,,Woodford House,
226,,St John's College (Hastings),
227,,Hastings Boys' High School,
228,,Hastings Girls' High School,
229,,Karamu High School,
230,,Lindisfarne College,
231,,Taikura Rudolf Steiner School,Rudolf Steiner School Hastings
232,,Te Aute College,
233,,Central Hawkes Bay College,
234,,Dannevirke High School,
235,,Tararua College,
236,,Horowhenua College,
237,,Waiopehu College,
238,,Kaitaia Abundant Life School,
239,*,Homeleigh Christian School (Closed),
240,,Otaki College,
241,,Wairarapa College,
242,,Solway College,
243,,Makoura College,
244,,Chanel College,
245,,Rathkeale College,
246,,St Matthew's Collegiate (Masterton),
247,,Kapiti College,
248,,Paraparaumu College,
249,,Kuranui College,
250,,Upper Hutt College,
251,,Heretaunga College,
252,,St Patrick's College (Silverstream),
253,,Aotea College,
254,,Mana College,
255,,Porirua College,
256,,Bishop Viard College,Viard College
257,,Tawa College,
258,,Taita College,
259,,Naenae College,
260,,St Bernard's College,
261,,Hutt Valley High School,
262,,Sacred Heart College (Lower Hutt),
263,,Chilton Saint James School,Chilton St James School
264,*,Prospect College,
265,,St Oran's College,
266,,Waipa Christian School,Bethel Christian School
267,*,Petone College,
268,,Newlands College,
269,,Onslow College,
270,*,Parkway College,
271,*,Wainuiomata College,
272,,Wellington Girls' College,
273,,Wellington High School and Com Ed Centre,
274,,Wellington East Girls' College,
275,,Wellington College,
276,,St Patrick's College (Kilbirnie),
277,,Rongotai College,
278,,Queen Margaret College,
279,,Te Kura Kaupapa Maori O Hoani Waititi,
280,,Samuel Marsden Collegiate School,
281,,Scots College,
282,,Te Kura Amorangi o Whakawatea,Te Kura Kaupapa Maori O Whakawatea
283,,Otamatea Christian School,
284,,St Catherines College (Kilbirnie),
285,*,Erskine College,
286,,St Mary's College (Wellington),
287,,Queen Charlotte College,
288,,Marlborough Boys' College,
289,,Marlborough Girls' College,
290,,Collingwood Area School,
291,,Rai Valley Area School,
292,,Golden Bay High School,
293,,Nayland College,
294,,Nelson College,
295,,Nelson College For Girls,
296,,Waimea College,
297,,Tapawera Area School,
298,,Motueka High School,
299,,Murchison Area School,
300,,Karamea Area School,
301,,Buller High School,
302,*,Inangahua College,
303,,Greymouth High School,
304,,John Paul II High School,
305,,Westland High School,
306,,South Westland Area School,
307,,Kaikoura High School,
308,,Amuri Area School,
309,,Cheviot Area School,
310,,Oxford Area School,
311,,Hurunui College,Hawarden Area School
312,,Rangiora High School,
313,*,Christian School,
314,,Kaiapoi High School,
315,,St Bedes College,
316,,Papanui High School,
317,,Christchurch Adventist School,
318,,St Andrew's College (Christchurch),
319,,Burnside High School,
320,,Mairehau High School,
321,,Shirley Boys’ High School - Ngā Tama o Ōruapaeroa ,Shirley Boys' High School
322,*,Westminster Christian School (clsd),
323,*,Aranui High School,
324,,Avonside Girls' High School,
325,,Rangi Ruru Girls' School,
326,,Villa Maria College,
327,,Christchurch Boys' High School,
328,,Christchurch Girls' High School -Te Kura o Hine Waiora,Christchurch Girls' High School | Te Kura o Hine Waiora; previously Christchurch Girls' High School
329,,Mangakino School,Mangakino Area School
330,,Christ's College,
331,,St Thomas of Canterbury College,
332,*,Xavier College,
333,,St Margaret's College,
334,,Riccarton High School,
335,,Middleton Grange School,
336,,Te Puna Wai o Waipapa - Hagley College ,Hagley Community College
337,,Te Aratai College,"Linwood College, Linwood High School"
338,,Hornby High School,
339,,Hillmorton High School,
340,,Cashmere High School,
341,,Hillview Christian School,St Martin’s Christian School
342,*,Sacred Heart Girls' College (Chch),
343,,Marian College,
344,,Westminster Christian School,
345,*,Pacific Christian School,
346,,Darfield High School,
347,,Lincoln High School,
348,,Mount Hutt College,
349,,Ellesmere College,
350,,Akaroa Area School,
351,,Ashburton College,
352,,Geraldine High School,
353,,Mackenzie College,
354,,Opihi College,
355,*,Pleasant Point High School,
356,*,Twizel High School,
357,,Craighead Diocesan School,
358,,Roncalli College,
359,,Mountainview High School,
360,,Timaru Boys' High School,
361,,Timaru Girls' High School,
362,,Waimate High School,
363,,Waitaki Valley School,Kurow Area School
364,*,Wanaka Area School,
365,,Waitaki Boys' High School,
366,,Waitaki Girls' High School,
367,*,St Martin's Christian Secondary School,
368,,The Cathedral Grammar School,
369,,St Kevins College (Oamaru),
370,,Maniototo Area School,
371,,East Otago High School,
372,,Dunstan High School,
373,,Cromwell College,
374,,Wakatipu High School,
375,,Roxburgh Area School,
376,,Logan Park High School,
377,,Otago Boys' High School,
378,,Otago Girls' High School,
379,*,St.Paul's High School (Dunedin),
380,,St Hildas Collegiate,
381,,Kaikorai Valley College,
382,,Bayfield High School,
383,,Kings High School (Dunedin),
384,,Queens High School,
385,*,Moreau College,
386,,Columba College,
387,,John McGlashan College,
388,*,Amworth Secondary School,
389,*,The Taieri High School,(Merged into 495)
390,,Lawrence Area School,
391,,Blue Mountain College,
392,,Tokomairiro High School,
393,,South Otago High School,
394,,The Catlins Area School,Catlins Area School
395,,Northern Southland College,
396,,Gore High School,
397,,St Peter's College (Gore),
398,,Takitimu Primary School,
399,,Central Southland College,
400,,Fiordland College,
401,,Menzies College,
402,,Waiau Area School,Tuatapere Community College; previously Waiau College
403,*,James Hargest High School,
404,,Southland Boys' High School,
405,,Southland Girls' High School,
406,*,Cargill High School,
407,*,Kingswell High School,
408,,Verdon College,
409,,Aparima College,
415,*,Kings College (Christchurch),
416,*,Hokitika Christian School,
417,*,Windermere Christian College,
418,,Rangiora New Life School,
419,,Rudolf Steiner School (Chch),
420,*,Totara College Of Accelerated Learning,
421,,Richmond View School,
422,,Faith City School,Faith Academy
423,*,Kerikeri Christian School,
424,,Michael Park School,
425,,Odyssey House School (Auckland),
426,*,Ponatahi Christian School,
427,*,Hawera Christian Academy,
428,,Whangamata Area School,
429,,Excellere College,Kamo Christian College
430,*,Shiloh Christian Academy,
431,*,Kerikeri Christian Community School,Kerikeri Christian School
432,,KingsWay School,
433,*,Taumarunui Christian Academy,Taumarunui Christian School
434,*,Pinehurst Secondary School,
435,,Hukarere College,Hukarere
436,,Springbank School,
437,*,Waimate North Christian School,
438,*,King Edward International High School,
439,,Totara College of Accelerated Learning,
440,,Pinehurst School,
441,,ACG Strathallan,Strathallan
442,*,Hastings Christian School (Secondary),
443,,Hastings Christian School,
444,*,Mt Anglem College,
445,*,Kadimah College (Secondary),
446,*,Immanuel Christian School (Secondary),
447,*,Pukekohe Christian School (Secondary),
448,*,Kaikohe Christian School(Secondary),
449,*,Tkkm O Mana Tamariki (Secondary),
450,*,Carey College (Secondary),
451,,Hamilton Christian School,
452,,Southern Cross Campus,"(Merger of 1485,1349 and 92)"
453,,Kadimah School,Kadimah College
454,,St Dominic's College,
455,*,Te Kura Kaupapa Maori O Mana Tamariki,
456,,Pukekohe Christian School,
457,*,Highland Park Montessori School,
458,*,Rotorua Bible Baptist Church School,
459,*,Immanuel Christian School,
460,,Atea College,Carey College
461,*,St Andrew's Christian School (Secondary),
462,,Ambury Park Centre,Ambury Park Centre for Riding Therapy
463,,Te Kura Kaupapa Motuhake O Tawhiuau ,Te Kura O Tawhiuau
464,*,Children of Hope New Zealand,
465,,Mana Tamariki,
466,,Manukau Christian School,St Andrews Christian School
468,*,Victory Christian Academy,
469,*,Strathallan College,(Now part of 441)
470,*,Nga Kakano Christian Bilingual School,
471,,Zayed College for Girls,
472,,"OneSchool Global, New Zealand",Westmount School
473,,Auckland International College,
474,*,The Bridge Academy,
475,*,Tau Te Arohanoa Akoranga,
476,,Tongariro School,Turangi ki Tongariro Area School
477,*,Southern Lakes Christian School (Sec),(Now part of 1795)
478,,Wainuiomata High School,(Merger of 270 and 271)
479,*,Athena Montessori College (CLOSED),
480,*,The Corelli School (Secondary),
481,,City Impact Church School,
482,,Aquinas College,
483,*,Unlimited Paenga Tawhiti,Unlimited; Merged into 683
484,,Wentworth College,
485,,Taumata School,
486,*,Cambridge International College,
487,,Mt Hobson Academy,Mt Hobson Middle School
488,,Nga Taiatea Wharekura,
489,*,Hill Top School (Sec Dept),
490,*,Rangitaiki Independent School (Sec Dept),
491,,Sancta Maria College,
492,*,Queens College,
493,*,Cornell High School,
494,,Putaruru College,(Merger of 150 and 1913)
495,,Taieri College,(Merger of 389 and 3777)
496,,Reefton Area School,
497,,Te Kura o Hirangi,
498,,Te Aho o Te Kura Pounamu,Correspondence School
500,*,Bollard Ave Girls' Home School,
501,*,Otamatea Christian School,
502,*,Hamilton Boys' Home,
503,*,Kelston Deaf Education Centre,(Merged with 519 into 903 in 2020)
504,*,Mataora Girls' Home School,
505,*,Waka Ora Boys' Home School,
506,,Drury Christian School,
507,*,Weymouth Centre School,
508,*,Whaiora School,
509,*,Beck House,
510,*,Epuni Boys' Home School,
511,*,Hokio Beach School,
512,*,Kohitere School,
513,*,Aurora Girls' Home,
514,,Te Kura o Kimi Ora ,Kimi Ora School
515,*,Campbell Park School,
516,*,Christchurch Boys' Home School,
517,*,Highcliff High School,
518,,Kingslea School,
519,*,Van Asch Deaf Education Centre,(Merged with 503 into 903 in 2020)
520,*,Hammersley Park School,
521,*,Edward Seager School,
522,,Halswell Residential College,Hogben School
523,*,Carlson School (Cerebral Palsy),(Merged into 840)
524,*,Nelson Christian Academy,
525,,Salisbury School (Nelson),
526,*,Forbury School,(Merged into 647)
527,,Twizel Area School,
528,,Ponatahi Christian School,
529,*,Shiloh Christian Academy (Motueka),
530,,Waiheke High School,
531,,Catholic Cathedral College,
532,,John Paul College,
533,,Mt Aspiring College,
534,*,Richmond Christian College,
535,*,Ruatoki Kura Tuarua School,
536,,Kavanagh College,
537,*,Avon Christian College,
539,,Waikato Waldorf School ( Rudolf Steiner),
540,*,Odyssey House School (Christchurch),
541,*,Reikorangi College,
543,*,Cascade Christian College,
544,,Al-Madinah School,
545,,Te Kura Toitu o Te Whaiti-nui-a-Toi,
546,,Whitby Collegiate,"Samuel Marsden Collegiate School -Whitby, Whitby Independent College"
547,,MindAlive,
548,,Aurora College,
549,,Taihape Area School,
550,,Te Waha O Rerekohu Area School,
551,,Coastal Taranaki School,Okato Area School
552,,James Hargest College,
553,,Mission Heights Junior College,
555,,Tangaroa College Teen Parent Unit,
556,*,Te Whanau o Tupuranga,(Merged into 631)
557,,Holy Family School (Wanaka),
558,,Te Kura Kaupapa Maori o Te Kura Kokiri,Te Kura Kokiri
559,,Te Wainui a Rua,Whanganui Awa School
