List of all schools sorted by school number (Includes closed schools),,,
The information in this document is up to date as at 31 August 2022,,,
,,,
Number,Closed,Name of School,Notes Or Old Name
1080,,Parua Bay School,
1081,,Peria School,
1082,,Pompallier Catholic School,Pompallier School
1083,,Poroti School,
1084,,Portland School,
1085,,Pouto School,
1086,,Pukenui School (Kaitaia),
1087,,Pukepoto School,
1088,*,Punaruku School,
1089,,Purua School,
1090,*,Raumanga School,(Merged into 1648)
1091,*,Raumanga Primary School,(Merged into 1648)
1092,,Raurimu Avenue School,
1093,,Rawene School,
1094,,Ruakaka School,
1095,,Ruawai Primary School,Ruawai School
1096,,Russell School (Bay Of Islands),
1097,,Selwyn Park School,
1098,,St Joseph's Catholic School (Dargaville),St Joseph's School (Dargaville)
1099,*,St.Joseph's School (Whangarei),
1100,,Te Kura o Hato Hohepa Te Kamura,
1101,*,St.Mary's School (Whangarei),
1102,*,Te Kura o Hata Maria (Pawarenga),Closed 2020
1103,*,Taipuha School,
1104,,Tangiteroria School,
1105,,Tangowahine School,
1106,,Tapora School,
1107,,Tauhoa School,
1108,*,Tautoro School,
1109,,Te Hapua School,
1110,,Te Horo School (Whangarei),
1111,,Te Kopuru School,
1112,,Bay of Islands International Academy,Te Tii School
1113,,Tikipunga Primary School,
1114,,Tinopai School,
1115,,Tomarata School,
1116,,Totara North School,
1117,*,Towai School,
1118,*,Tutamoe School,
1119,,Umawera School,
1120,,Waiharara School,
1121,*,Waikare School,
1122,,Waima School,
1123,*,Waiomio School,
1124,,Waiotira School,
1125,,Waipu School,
1126,,Wellsford School,
1127,,Whananaki School,
1128,,Whangarei Heads School,
1129,,Whangarei Intermediate,
1130,,Whangarei School,
1131,,Whau Valley School,
1132,*,Living Way Christian School,Closed 2018
1133,*,New Life Christian Academy,
1134,*,Hamilton Christian School (Secondary),
1135,*,Wickham Private School (Closed),
1136,*,New Life Christian School,New Life Christian Academy
1137,*,Southland Christian College,
1138,,Renew School,Christian Renewal School
1139,,Lake Taupo Christian School,
1140,*,Casa Dei Bambini Primary School,
1141,*,Te Kura Kaupapa Maori O Rangiawhia,
1142,,Te Kura Kaupapa Maori O Takapau,
1143,,Te Kura Kaupapa Maori O Nga Mokopuna,
1144,*,Marsden Christian School,
1145,*,Totara College Of Accelerated Learning,
1146,*,The PDS Trust School,
1147,,Te Rangi Aniwaniwa,Te Kura Kaupapa O Te Rangi Aniwaniwa
1148,,Nelson Christian Academy,
1149,,Sonrise Christian School,
1150,*,Fountain Christian School,
1151,,TKKM o Te Puaha o Waikato,Te Kura Kaupapa O Te Puaha O Waikato
1152,*,Auckland Muslim School,
1153,,Te Kura Kaupapa Maori O Te Koutu,
1154,,Te Kura Kaupapa Maori O Te Rawhiti Roa,
1155,*,Hamilton Collegiate,
1156,,Horizon School,Mahurangi Christian School
1157,*,Richmond View Secondary School,
1158,*,Rotorua Christian Primary School,
1159,*,Waiora Christian School,
1160,*,Jireh Christian School,Jireh Community School
1161,*,Immanuel Christian School (Primary),
1162,*,Haupiri School,
1163,*,Kingsway Primary School,
1164,,Everglade School,
1165,,Te Kura Kaupapa Maori O Ruamata,
1166,*,Otamatea Christian School,
1167,,Wanaka Primary School,
1168,,Emmanuel Christian School,
1169,,Paeroa Christian School,
1170,,Whakatane S D A School,
1171,*,Assembly Of God Christian School,
1172,,Cornerstone Christian School,
1173,*,Hastings Christian School (Primary),
1174,*,Moriah College,
1175,,Kaikohe Christian School,
1176,*,Mountain Valley School (Closed),
1177,,Te Huruhi School,
1178,,Tasman Bay Christian School,
1179,,Maranatha Christian School,
1180,*,Kings Christian School,
1181,*,Pinehurst School (Closed),
1182,*,Otorohanga Christian School,
1183,*,Kerikeri Christian School,
1184,,Hawera Christian School,Belmont Christian Academy
1185,,Matahui School,Matahui Road School
1186,,Matamata Christian School,
1187,,Tauranga Waldorf School,Rudolf Steiner School (Tauranga)
1188,*,St Andrews Christian School,
1189,,Wa Ora Montessori School,
1190,,Elim Christian College,Cascade Christian College
1191,*,Kaitaia Abundant Life School (closed),
1192,,Dunedin Rudolf Steiner School,Kotuku Rudolph Steiner School
1193,*,Bethlehem College,
1194,,Red Beach School,
1195,,Adventure School,
1196,*,Pukekohe Christian School,
1197,*,Calvin Christian School (Closed),
1198,*,Auckland Christian School,
1199,*,Carey College,
1200,,Ahuroa School,
1201,,Aka Aka School,
1202,,Albany School,
1203,,Alfriston School,
1204,,Anchorage Park School,
1205,*,Arahanga Intermediate,
1206,,Arahoe School,
1207,,Ararimu School,
1208,,Ardmore School,
1209,,Arohanui Special School,
1210,,Northern Health School,
1211,,Auckland Normal Intermediate,
1212,,Avondale Intermediate,
1213,,Avondale Primary School (Auckland),
1214,,Awhitu District School,
1215,,Sir Douglas Bader Intermediate School,Bader Intermediate
1216,,Bailey Road School,
1217,,Sir Edmund Hillary Collegiate Middle School,Bairds Intermediate
1218,,Bairds Mainfreight Primary School,
1219,,Balmoral School (Auckland),
1220,,Bayfield School,
1221,,Bayswater School,
1222,,Bayview School,
1223,,Beach Haven School,
1224,,Beachlands School,
1225,,Belmont Intermediate,
1226,,Belmont School (Auckland),
1227,,Birdwood School,
1228,,Birkdale Intermediate,
1229,,Birkdale North School,
1230,,Birkdale Primary School,
1231,,Birkenhead School,
1232,,Blockhouse Bay Intermediate,
1233,,Blockhouse Bay School,
1234,,Bombay School,
1235,,Botany Downs School,
1236,,Brookby School,
1237,,Browns Bay School,
1238,,Bruce McLaren Intermediate,
1239,,Buckland School,
1240,,Bucklands Beach Intermediate,
1241,,Bucklands Beach Primary School,
1242,,Campbells Bay School,
1243,,Chaucer School,
1244,,Chelsea School,
1245,,Christ the King Catholic School (Owairaka),Christ The King School (Mt Roskill)
1246,,Churchill Park School,
1247,,Clayton Park School,
1248,,Clendon Park School,
1249,,Clevedon School,
1250,*,Clover Park Middle School,(Merged into 631)
1251,,Sir Edmund Hillary Collegiate Junior School,Clydemore School
1252,,Coatesville School,
1253,,Cockle Bay School,
1254,,Colwill School Massey,Colwill School
1255,,Conifer Grove School,
1256,,Cornwall Park District School,Cornwall Park School
1257,,Cosgrove School,
1258,,Dairy Flat School,
1259,,Dawson School,
1260,,Devonport Primary School,Devonport School
1261,,Dominion Road School,
1262,,Don Buck School,
1263,,Drury School,
1264,,East Tamaki School,
1265,,Edendale School (Auckland),
1266,,Edmonton School,
1267,,Edmund Hillary School,
1268,,Ellerslie School,
1269,,Elm Park School,
1270,,Epsom Normal School,
1271,,Fairburn School,
1272,,Farm Cove Intermediate,
1273,,Favona School,
1274,,Ferguson Intermediate (Otara),Ferguson Intermediate
1275,,Finlayson Park School,
1276,,Flanshaw Road School,
1277,,Flat Bush School,
1278,,Forrest Hill School,
1279,,Freemans Bay School,
1280,,Freyberg Community School,Freyberg Memorial Community School
1281,,Fruitvale Road School,
1282,,Gladstone School (Auckland),
1283,,Glamorgan School,
1284,,Glen Eden Intermediate,
1285,,Glen Eden School,
1286,*,Glen Innes Intermediate,
1287,,Glen Innes School,
1288,*,Glen Murray School,
1289,,Glen Taylor School,
1290,,Glenavon School,
1291,,Glenbrae Primary School,Glenbrae Public School
1292,,Glenbrook School,
1293,,Glendene School,
1294,,Glendowie School,
1295,,Glenfield Intermediate,
1296,,Glenfield Primary School,
1297,,Good Shepherd School (Balmoral),
1298,,Green Bay Primary School,
1299,,Greenhithe School,
1300,,Greenmeadows Intermediate,
1301,,Grey Lynn School,
1302,,Halsey Drive School,
1303,,Harrisville School,
1304,,Hauraki School,
1305,,Hay Park School,
1306,,Helensville School,
1307,,Henderson Intermediate,
1308,,Henderson North School,
1309,,Henderson School,
1310,,Henderson South School,
1311,,Henderson Valley School,
1312,,Hillpark School,
1313,,Hillsborough School,
1314,,Hobsonville School,
1315,,Holy Cross School (Papatoetoe),
1316,,Holy Cross Catholic School (Henderson),Holy Cross School (Henderson)
1317,,Homai School,
1318,,Howick Intermediate,
1319,,Howick Primary School,
1320,,Huapai District School,
1321,,Hunua School,
1322,,Jean Batten School,
1323,,Kaiaua School,
1324,,Kaipara Flats School,
1325,,Karaka School,
1326,,Kaukapakapa School,
1327,,Kauri Park School,
1328,,Kaurilands School,
1329,,Kedgley Intermediate,
1330,,Kelston Intermediate,
1331,,Kelston School,
1332,,Kelvin Road School,
1333,,Kingsford School,
1334,,Kohimarama School,
1335,,Konini School (Auckland),
1336,,Koru School,
1337,,Kowhai Intermediate,
1338,,Laingholm School,
1339,,Leabank School,
1340,,Leigh School,
1341,,Lincoln Heights School,
1342,,Long Bay School,
1343,,Mairangi Bay School,
1344,,Mangatangi School,
1345,,Mangatawhiri School,
1346,,Mangere Bridge School,
1347,,Mangere Central School,
1348,,Mangere East School,
1349,*,Southern Cross Middle School,
1350,,Manuka Primary School,
1351,,Royal Oak Intermediate School,
1352,,Manurewa East School,
1353,,Manurewa Intermediate,
1354,,Manurewa Central School,
1355,,Manurewa South School,
1356,,Manurewa West School,
1357,,Maraetai Beach School,
1358,,Maramarua School,
1359,,Marist School (Mt Albert),
1360,,Marist Catholic School (Herne Bay),Marist School (Herne Bay)
1361,,Marlborough School,
1362,,Marshall Laing School,
1363,,Massey Primary School,
1364,,Matakana School,
1365,,Matipo Road School,
1366,,Mauku School,
1367,,Maungawhau School,
1368,,May Road School,
1369,,Mayfield School (Auckland),
1370,,Meadowbank School,
1371,,Mellons Bay School,
1372,,Te Paina School,Mercer School
1373,,Meremere School,
1374,*,Middlemore Hospital School,
1375,,Milford School (Auckland),
1376,,Monte Cecilia Catholic School,Monte Cecilia School (Mt Roskill)
1377,*,Motutapu Island School,
1378,,Mt Eden Normal School,
1379,,Mt Richmond School,
1380,,Mountain View School,
1381,,Mt Albert School,
1382,,Mt Carmel School (Meadowbank),
1383,,Mt Roskill Intermediate,
1384,,Mt Roskill Primary School,
1385,,Mulberry Grove School,
1386,,Murrays Bay Intermediate,
1387,,Murrays Bay School,
1388,,Macleans Primary School,
1389,,New Lynn School,
1390,,New Windsor School,
1391,,Newmarket School,
1392,,Newton Central School,
1393,,Nga Iwi School,
1394,,Northcote Intermediate,
1395,,Northcote School (Auckland),
1396,,Northcross Intermediate,
1397,,Oaklynn Special School,
1398,,Okiwi School,
1399,,Onehunga Primary School,Onehunga District School
1400,,Onepoto School,
1401,,Opaheke School,
1402,,Orakei School,
1403,,Oranga School,
1404,,Oratia School,
1405,,Orere School,
1406,,Orewa Beach School,Orewa North School
1407,,Orewa Primary School,Orewa School
1408,,Otahuhu Intermediate,
1409,,Otahuhu School,
1410,,Otaua School,
1411,,Our Lady Sacred Heart School (Epsom),
1412,,Owairaka District School,
1413,,Owairoa Primary School,Owairoa School
1414,,Paerata School,
1415,*,Pakuranga Health Camp School,
1416,,Pakuranga Heights School,
1417,,Pakuranga Intermediate,
1418,,Panama Road School,
1419,,Panmure Bridge School,
1420,,Panmure District School,
1421,,Papakura Central School,
1422,,Papakura Intermediate,Mansell Senior School Papakura Intermediate
1423,,Papakura Normal School,
1424,,Kereru Park Campus,Papakura South School
1425,,Paparimu School,
1426,,Papatoetoe Central School,
1427,,Papatoetoe East School,
1428,,Papatoetoe Intermediate,
1429,,Papatoetoe North School,
1430,,Papatoetoe South School,
1431,,Papatoetoe West School,
1432,,Parakai School,
1433,,Ridgeview School,Paremoremo School
1434,,Mangapikopiko School,Park Estate School
1435,,Parkside School,
1436,,Parnell School,
1437,,Pasadena Intermediate,
1438,,Patumahoe Primary School,
1439,,Pigeon Mountain School,
1440,,Pt Chevalier School,
1441,,Pt England School,
1442,,Pokeno School,
1443,*,Pollok School,
1444,,Pomaria Road School,
1445,,Ponsonby Intermediate,
1446,,Ponsonby Primary School,
1447,,Prospect School,
1448,,Puhinui School,
1449,,Pukekawa School,
1450,,Pukekohe East School,
1451,,Pukekohe Hill School,
1452,,Pukekohe Intermediate,
1453,,Pukekohe North School,
1454,,Pukeoware School,
1455,,Puni School,
1456,,Ramarama School,
1457,,Rangeview Intermediate,
1458,,Ranui School,
1459,,Redhill School,
1460,,Redoubt North School,
1461,,Remuera Intermediate,
1462,,Remuera School,
1463,,Richmond Road School,
1464,,Riverhead School,
1465,,Riverhills School,
1466,,Riverina School,
1467,,Robertson Road School,
1468,,Rongomai School,
1469,*,Manukau View Contributing School,
1470,,Roscommon School,
1471,,Rosebank School (Auckland),
1472,,Rosehill School,
1473,,Rosehill Intermediate,
1474,,Rowandale School,
1475,,Royal Oak School,
1476,,Royal Road School,
1477,,Ruapotaka School,
1478,,Rutherford School,
1479,,Sandspit Road School,
1480,,Shelly Park School,
1481,,Sherwood School (Auckland),
1482,,Silverdale School,
1483,,Sir Keith Park School,
1484,,Sommerville School,
1485,*,Southern Cross Junior School,
1486,,St Anne's Catholic School (Manurewa),St Anne's School (Manurewa)
1487,,St Dominic's Catholic School (Blockhouse Bay),St Dominic's School (Blockhouse Bay)
1488,,St Francis Catholic School (Pt Chevalier),St Francis School (Pt.Chevalier)
1489,,St Heliers School,
1490,,St Ignatius Catholic School (St Heliers),St Ignatius School (St Heliers)
1491,,St John the Evangelist Catholic School,St John The Evangelist School (Otara)
1492,,St John's School (Mairangi Bay),
1493,,St Joseph's School (Grey Lynn),
1494,,St Joseph’s Catholic School (Onehunga),St Joseph's School (Onehunga)
1495,,St Joseph's School (Orakei),
1496,,St Joseph's School (Otahuhu),
1497,,St Joseph's School (Pukekohe),
1498,,St Joseph's Catholic School (Takapuna),St Joseph's School (Takapuna)
1499,,St Leonards Road School,
1500,,St Leo's Catholic School (Devonport),St Leos School (Devonport)
1501,,St Mark's School (Pakuranga),
1502,,St Mary's Catholic School (Papakura),St Mary's School (Papakura)
1503,,St Mary’s Catholic School (Avondale),St Mary's School (Avondale)
1504,,St Mary's School (Ellerslie),
1505,,St Mary's School (Northcote),
1506,,St Michael's Catholic School (Remuera),St Michael's School (Remuera)
1507,,St Patrick's School (Panmure),
1508,,St Pius X Catholic School (Glen Innes),St Pius X School (Glen Innes)
1509,,St Therese School (Three Kings),
1510,,St Thomas School (Auckland),
1511,,Stanhope Road School,
1512,,Stanley Bay School,
1513,,Stanmore Bay School,
1514,,Our Lady Star of the Sea School (Howick),Star of the Sea School (Howick)
1515,,Sunnyhills School,Sunny Hills School
1516,,Sunnybrae Normal School,
1517,*,Sunnydene Special School,(Merged into 840)
1518,,Sunnynook School,
1519,,Sunnyvale School,
1520,,Sutton Park School,
1521,,Swanson School,
1522,,Sylvia Park School,
1523,,Takanini School,
1524,,Takapuna Normal Intermediate,
1525,,Takapuna School,
1526,,Tamaki School,
1527,*,Tamaki Intermediate,
1528,,Target Road School,
1529,,Taupaki School,
1530,,Te Atatu Intermediate,
1531,,Peninsula Primary School,
1532,,Te Hihi School,
1533,,Te Kohanga School,
1534,,Te Papapa School,
1535,,Three Kings School,
1536,,Tirimoana School,
1537,,Titirangi School,
1538,,Torbay School,
1539,,Tuakau School,
1540,,Valley School,
1541,,Vauxhall School,
1542,*,Vermont Street Catholic School,
1543,,Verran Primary School,Verran Road School
1544,,Victoria Avenue School,
1545,,View Road School,
1546,,Viscount School,
1547,,Waiau Pa School,
1548,,Waikowhai Intermediate,
1549,,Waikowhai School,
1550,,Waimauku School,
1551,*,Waimokoia Residential School,
1552,,Wainui School,
1553,,Waioneke School,
1554,,Waipipi School,
1555,,Wairau Intermediate,
1556,,Wairau Valley Special School,Wairau Valley School
1557,,Waitakere School,
1558,,Waitoki School,
1559,,Waiuku Primary School,
1560,,Wakaaranga School,
1561,,Warkworth School,
1562,,Waterlea Public School,
1563,,Waterview School,
1564,,Wesley Intermediate,
1565,,Wesley Primary School,Wesley School
1566,,West Harbour School,
1567,,Western Heights School (Auckland),
1568,,Westmere School (Auckland),
1569,,Waimahia Intermediate School,Weymouth Intermediate
1570,,Weymouth School,
1571,,Whangaparaoa School (Auckland),
1572,,Whenuapai School,
1573,,Willow Park School,Willowpark School
1574,,Wilson School,Wilson Home School
1575,,Windy Ridge School,
1576,,Wiri Central School,
1577,,Woodhill School,
1578,,Woodlands Park School,
1579,,Wymondley Road School,
1580,,Yendarra School,
1581,,Chapel Downs School,
1582,,Nova Montessori School,Nova Montessori Primary School
1583,*,Marsden Christian School,
1584,,Te Kura Kaupapa Maori O Te Raki Paewhenua,
1585,,St Anthony's School (Wanganui),
1586,*,Thomas Kennedy Junior Academy (Closed),
1587,,Gloriavale Christian School,Gloriavale Christian Community School
1588,,St Francis Xavier Catholic School (Whangarei),St Francis Xavier School (Whangarei)
1589,,TKKM o Toku Mapihi Maurea,
1592,,Marina View School,
1593,,Kaitoke School (Claris),
1594,,Riverview School,
1595,,Titirangi Rudolf Steiner School,
1596,*,Te Kura Kaupapa Maori O Waipareira,
1597,*,Baha'i School,
1602,*,Bethel Christian School,
1603,*,Arthur's Pass School,
1604,*,Te Kura Kaupapa Maori O Te Kotuku,
1605,*,ACG Senior College,Merged into 2085
1606,,UP International College New Zealand,"ACG New Zealand International College, NZ International College"
1607,,Bishop Edward Gaines Catholic School,
1608,,St Matthew's Primary School (Hastings),
1609,*,TKKM o Taumarere (Closed),
1610,*,Kings Gate Primary School,Franklin Christian School; Now 603
1611,,Timaru Christian School,
1612,*,Dingwall Trust School,
1613,,Te Ra School,
1614,*,International Christian School,Meadowlands Christian Academy
1615,*,Te Kura Kaupapa Maori O Mana Tamariki,
1616,,TKKM o Ngati Kahungunu o Te Wairoa,
1617,,Te Kura Kaupapa Maori O Ngati Rangi,
1618,,Te Kura Kaupapa Maori O Te Whanau Tahi,
1619,,Te Kura Akonga O Manurewa,
1620,*,Whitianga Christian School,
1621,*,Te Kura o Nga Ruahine Rangi (CLOSED),
1622,*,Westminster ( West) Christian School,
1623,*,Burwood School (Papakura),
1625,,Ascot Community School,
1626,*,Nga Kakano Christian Reo Rua Kura,Nga Kakano O Te Kaihanga Reo E Rua Kura
1627,,St Paul's School (Richmond),
1628,*,Independent Middle School (CLOSED),International Middle School
1630,,Central Regional Health School,
1631,,Southern Health School,Southern Regional Health School
1632,*,Felix Donnelly College,
1633,,St Mary MacKillop Catholic School,Mary MacKillop School
1634,,Te Kura Maori o Porirua,Te Kura Ki Porirua
1635,*,Discovery One School,(Merged into 683)
1636,,St Thomas More Catholic School,
1637,*,AppleTree Education Centre,
1638,*,Rangitaiki Independent School,
1639,*,Arorangi School,
1640,*,The Corelli School,
1641,,Amana Christian School,
1642,*,Jireh School,
1643,,St Paul's School (Massey),
1644,*,Breakthrough Education Centre,
1645,,Te Kura o Torere,
1646,,Wainuiomata Intermediate,
1647,,Konini Primary School (Wainuiomata),(Merger of 2952 and 3028)
1648,,Manaia View School,(Merger of 1090 and 1091)
1649,*,Fossil Bay Steiner School,
1650,,Drummond Primary School,Central Southland Rural Primary School; Merger of 3996 and 3944
1651,,Te Kura Kaupapa Maori O Wairarapa,(Merger of 2908 and 4210)
1652,*,Coromandel Learning Centre,
1653,*,Tasman Bay Montessori School,
1654,*,Motueka Rudolf Steiner School,Closed 2020
1655,,Destiny School,
1656,*,NZ College of Sport and Education,
1657,,Silverstream (South) Primary School,"Arthur Burns School; Merger of 3705, 3782 and 3809"
1658,,Putaruru Primary School,"(Merger of 1703, 1868, 1909 and 1914)"
1659,,Lakeview School,"(Merger of 3074, 2885 and 2858)"
1660,,Masterton Primary School,(Merger of 2853 and 2907)
1661,,Douglas Park School,(Merger of 2910 and 2829)
1662,,Huia Range School,(Merger of 2552 and 2576)
1663,,Stella Maris Primary School,
1666,,Te Kura o Waikare,
1667,,He Puna Ruku Mātauranga o Whangaruru,Whangaruru School
1668,,Wairoa Primary School,
1669,,Tiaho Primary School,
1670,,Te Kura Kaupapa Maori O Te Ara Whanui,
1671,*,Al-Madinah School,
1672,,Te Kura Kaupapa Maori O Nga Uri A Maui,
1673,,TKKM o Te Waiu o Ngati Porou,
1674,,TKKM o Te Wananga Whare Tapere o Takitimu,TKK o Te Wananga Whare Tapere o Takitimu
1675,,Ruakituri School,
1676,,Te Mahia School,
1677,,Mohaka School,
1678,,Te Kura o Waikaremoana,
1679,,Rahotu School,
1680,,Aberdeen School,
1681,,Allandale School,
1682,,Amisfield School,
1683,,Aorangi School (Rotorua),
1684,,Apanui School,
1685,*,Arapuni School,
1686,,Arataki School,
1687,,Aria School,
1688,,Arohena School,
1689,,Ashbrook School,
1690,*,Atiamuri School,
1691,,Awakeri School,
1692,*,Balmoral School (Tokoroa),
1693,,Bankwood School,
1694,,Bellevue School (Tauranga),
1695,,Berkley Normal Middle School,
1696,,TKKM o Bernard Fergusson,Bernard Fergusson School
1697,,Bethlehem School,
1698,,Broadlands School,
1699,,Te Kura o Manunui,Brookfield School
1700,,Cambridge East School,
1701,,Cambridge Middle School,
1702,,Cambridge School,
1703,*,Cambridge Street School,
1704,,Cargill Open Plan School,
1705,,Centennial Park School,
1706,,Colville School,
1707,,Coroglen School,
1708,,David Henry School,
1709,,David Street School,
1710,,Deanwell School,
1711,,Edgecumbe School,
1712,*,Educational Unit,
1713,,Elstow-Waihou Combined School,Elstow School
1714,*,Eureka School,
1715,,Fairfield Intermediate,
1716,,Fairfield Primary School,
1717,,Fairhaven School,
1718,,Te Kura Kaupapa Maori O Te Ara Rima,
1719,,Firth School,
1720,,Forest Lake School,
1721,,Frankton School,
1722,,Galatea School,
1723,,Glen Massey School,
1724,,Glenholme School,
1725,,Glenview School (Hamilton),
1726,,Goldfields School (Paeroa),Goldfields School
1727,,Goodwood School,
1728,,Gordonton School,
1729,,Greenpark School (Tauranga),
1730,,Greerton Village School,
1731,,Hamilton East School,
1732,,Hamilton North School,
1733,,Hamilton West School,
1734,*,Hangatiki Primary School,
1735,,Hautapu School,
1736,,Hauturu School,
1737,,Hikuai School,
1738,,Hikutaia School,
1739,,Hillcrest Normal School,
1740,,Hilltop School,
1741,,Hinuera School,
1742,*,Hirangi School,
1743,*,Hoe-O-Tainui School,
1744,,Horahora School (Cambridge),Horahora School
1745,,Horohoro School,
1746,,Horotiu School,
1747,,Horsham Downs School,
1748,,Te Kura Kaupapa Maori O Huiarau,
1749,,Hukanui School,
1750,,St Patrick's Catholic School (Taupo),
1751,,Huntly School (Waikato),Huntly School
1752,,Huntly West School,
1753,,Insoll Avenue School,
1754,,Rangitaiki School,
1755,,James Street School,
1756,,Kaharoa School,
1757,,Kaihere School,
1758,,Kaimai School,
1759,,Kaingaroa Forest School,
1760,,Kaipaki School,
1761,,Kaitao Intermediate,
1762,,Tauranga Special School,Kaka Street Special School
1763,,Karangahake School,
1764,,Karapiro School,
1765,,Katikati Primary School,
1766,,Kawaha Point School,
1767,*,Kawerau Central School,(Merged into 655)
1768,*,Kawerau Intermediate,(Merged into 661)
1769,*,Kawerau North School,(Merged into 655)
1770,,Kawerau South School,
1771,,Kawhia School,
1772,,Rotorua Specialist School – Te Kura Pūkenga o Rotorua,Kea Street Specialist School
1773,,Te Kura Kaupapa Maori O Harataunga,
1774,*,Kereone School,
1775,,Kerepehi School,
1776,,Kihikihi School,
1777,,Kimihia School,
1778,,Kinohaku School,
1779,,Kio Kio School,
1780,,Kiwitahi School,
1781,,Knighton Normal School,
1782,,Kopuarahi School,
1783,,Korakonui School,
1784,,Koromatua School,
1785,,Kuratau School,
1786,,Kutarere School,
1787,,Lake Rerewhakaaitu School,
1788,,Lake Rotoma School,
1789,,Leamington School,
1790,,Lichfield School,
1791,,Lynmore Primary School,
1792,,Maeroa Intermediate,
1793,,Maihiihi School,
1794,,Maketu School,
1795,*,Southern Lakes Christian School,
1796,,Malfroy School,
1797,,Mamaku School,
1798,,Te Wharekura o Manaia,Manaia School (Thames)
1799,*,Manawahe School,
1800,,Manawaru School,
1801,*,Mangakino School,
1802,*,Mangatarata School,
1803,*,Mangateparu School,
1804,*,Maniapoto School,
1805,*,Mapiu School,Closed 2019
1806,,Te Kura Mana Maori Maraenui,Te Kura Kaupapa Maori O Maraenui
1807,*,Marist Brothers School (Hamilton),
1808,,Marotiri School,
1809,,Te Kura Mana Maori o Matahi,Te Kura O Matahi
1810,*,Matahina School,
1811,,Te Kura o Te Moutere O Matakana,
1812,,Matamata Intermediate,
1813,,Matamata Primary School,
1814,,Matangi School,
1815,,Te Kura o Matapihi,Matapihi School
1816,*,Matapuna School,
1817,*,Matarawa School,
1818,,Matata School,
1819,,Matatoki School,
1820,,Matua School,
1821,,Maungatapu School,
1822,*,Maungatautari School,
1823,,Melville Intermediate,
1824,,Melville Primary School,
1825,,Merivale School,
1826,,Mihi School,
1827,,Miller Avenue School,
1828,*,Minginui Forest School,
1829,,Moanataiari School,
1830,*,Mokai School,
1831,*,Mokauiti School,
1832,,Mokoia Intermediate,
1833,,Morrinsville Intermediate,
1834,,Morrinsville School,
1835,,Motumaoho School,
1836,,Mountview School,
1837,,Mt Maunganui Intermediate,
1838,,Mount Maunganui Primary School,Mt Maunganui School
1839,*,Murupara School,(Merged into 658)
1840,*,Naike School,
1841,,Nawton School,
1842,,Netherton School,
1843,,Newstead Model School,
1844,,Ngahinapouri School,
1845,,Ngakonui Valley School,Ngakonui School
1846,,Ngakuru School,
1847,,Te Kura o Ngapuke,Ngapuke School
1848,*,Ngarua School,
1849,,Ngaruawahia School,
1850,,Ngatea School,
1851,,Ngati Haua School,
1852,,Ngongotaha School,
1853,,Ngutunui School,
1854,,Nukuhou North School,
1855,,Ohaupo School,
1856,,Ohinewai School,
1857,,Ohope Beach School,
1858,,Kuranui Primary School,Okoroire School
1859,*,Te Kura o Omaio,Omaio School
1860,,Omanu School,
1861,,Te Kura o Ōmarumutu,Omarumutu School
1862,,Omokoroa Point School,
1863,,Omokoroa School,
1864,*,Oparau School,
1865,,Te Wharekura o Maniapoto,Te Wharekura o Oparure; previously Te Kura Kaupapa Maori O Oparure
1866,,Opotiki School,
1867,,Opoutere School,
1868,*,Oraka Heights School,
1869,,Orini Combined School,
1870,,Oropi School,
1871,,Otakiri School,
1872,,Otamarakau School,
1873,,Te Kura Kaupapa Maori O Otepou,
1874,,Otewa School,
1875,,Otonga Road School,
1876,,Otorohanga School,
1877,,Otorohanga South School,
1878,,Ōtūmoetai Intermediate,Otumoetai Intermediate
1879,,Ōtūmoetai Primary School,"Otumoetai Primary School, Otumoetai School"
1880,,St Mary's Catholic School (Otorohanga),
1881,,Owhata School,
1882,,Paengaroa School,
1883,,Paeroa Central School,
1884,,Pahoia School,
1885,,Pāpāmoa Primary School,"Papamoa Primary School, Papamoa School"
1886,,Parawai School,
1887,*,Parawera School,
1888,,Te Kura o Te Paroa,Paroa School (Whakatane)
1889,,Paterangi School,
1890,*,Patetonga School,
1891,,Patricia Avenue School,
1892,,Peachgrove Intermediate,
1893,,Pekapekarau School,Pekerau School
1894,,Pillans Point School,
1895,,Piopio Primary School,
1896,,Piripiri School,Piri Piri School
1897,,Pirongia School,
1898,,Pokuru School,
1899,,Pongakawa School,
1900,*,Te Kura Kotuku Mihinare O Te Waipounamu,
1901,*,Te Kura Hauora,
1902,,Puahue School,
1903,,Pukeatua School,
1904,,Pukehina School,
1905,*,Pukemiro School,Closed 2021
1906,,Pukenui School (Te Kuiti),
1907,,Puketaha School,
1908,,Pukete School,
1909,*,Puketurua-Arapuni Combined School,Puketurua School
1910,*,Springhill School,
1911,,Puriri School,
1912,,Te Puru School,
1913,*,Putaruru Intermediate,
1914,*,Putaruru West School (closed),(Merged into 1658)
1915,*,Putauaki School,(Merged into 655)
1916,,Pyes Pa Road School,
1917,,Te Wharekura o Rakaumangamanga,TKKM-a-Rohe o Rakaumanga
1918,*,Rangipai School,
1919,,Te Kura o Rangiriri,Rangiriri School
1920,,Rangitoto School,
1921,,Rangiuru School,
1922,*,Raukokore School,
1923,,Reporoa School,
1924,,Rhode Street School,
1925,*,Richmond Downs School,
1926,*,Richmond Park School,
1927,,Roto-O-Rangi School,
1928,*,Koru Grove Waldorf School,The Happy Rainbow Primary School
